College_Code,College_Name,Category,Branch,Cutoff_Rank,Year,Round,Exam_Type,Rank_Category,City,Min_Round,Max_Round,Round_Count,Best_Rank,Worst_Rank,Avg_Rank_Combo,Rank_Range,Trend_Signal,CTX_Seats,CTX_Avg_Rank,CTX_Best_Rank,CTX_Worst_Rank,CTX_Active_Colleges,CTX_Active_Branches,Round_Premium
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,37394,2024,1,COMEDK,Good,Bangalore,1,2,2,37394,51067,44230.0,13673,Deteriorated,1196,55333.0,193,102243,149,59,0
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",GM,AR-Automation & Robotics Engineering,21723,2024,1,COMEDK,Good,Hubballi,1,3,2,21723,44085,32904.0,22362,Deteriorated,1196,55333.0,193,102243,149,59,0
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",KKR,AR-Automation & Robotics Engineering,48753,2024,1,COMEDK,Good,Hubballi,1,2,2,48753,62445,55599.0,13692,Deteriorated,1196,55333.0,193,102243,149,59,0
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",GM,AI-Artificial Intelligence & Machine Learning,70485,2024,1,COMEDK,Average,Ballari,1,3,2,70485,80806,75646.0,10321,Deteriorated,1196,55333.0,193,102243,149,59,0
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",KKR,AI-Artificial Intelligence & Machine Learning,85669,2024,1,COMEDK,Below Average,Ballari,1,1,1,85669,85669,85669.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E018,"Bangalore College of Engineering and Technology-Chandapura, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,22221,2024,1,COMEDK,Good,Bangalore,1,4,3,22221,95553,60176.0,73332,Deteriorated,1196,55333.0,193,102243,149,59,0
E018,"Bangalore College of Engineering and Technology-Chandapura, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,69480,2024,1,COMEDK,Average,Bangalore,1,2,2,69480,73896,71688.0,4416,Deteriorated,1196,55333.0,193,102243,149,59,0
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,4599,2024,1,COMEDK,Excellent,Bangalore,1,4,3,4599,15770,9451.0,11171,Deteriorated,1196,55333.0,193,102243,149,59,0
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,12861,2024,1,COMEDK,Very Good,Bangalore,1,2,2,12861,23964,18412.0,11103,Deteriorated,1196,55333.0,193,102243,149,59,0
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,42543,2024,1,COMEDK,Good,Bangalore,1,4,3,42543,85968,63757.0,43425,Deteriorated,1196,55333.0,193,102243,149,59,0
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,AI-Artificial Intelligence & Machine Learning,64634,2024,1,COMEDK,Average,Davangere,1,4,3,64634,100899,87773.0,36265,Deteriorated,1196,55333.0,193,102243,149,59,0
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",KKR,AI-Artificial Intelligence & Machine Learning,87258,2024,1,COMEDK,Below Average,Davangere,1,1,1,87258,87258,87258.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E023,"Basavakalyan Engineering College-NH9 Basavakalyan, Bidar",GM,AD-Artificial Intelligence & Data Science,67253,2024,1,COMEDK,Average,Bidar,1,1,1,67253,67253,67253.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,AI-Artificial Intelligence & Machine Learning,48966,2024,1,COMEDK,Good,Bagalkote,1,4,3,48966,96627,79448.0,47661,Deteriorated,1196,55333.0,193,102243,149,59,0
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",KKR,AI-Artificial Intelligence & Machine Learning,69367,2024,1,COMEDK,Average,Bagalkote,1,1,1,69367,69367,69367.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,AD-Artificial Intelligence & Data Science,1539,2024,1,COMEDK,Excellent,Bangalore,1,4,3,1539,4294,2858.0,2755,Deteriorated,1196,55333.0,193,102243,149,59,0
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,1981,2024,1,COMEDK,Excellent,Bangalore,1,4,3,1981,4971,3330.0,2990,Deteriorated,1196,55333.0,193,102243,149,59,0
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,AS-Aerospace Engineering,4450,2024,1,COMEDK,Excellent,Bangalore,1,4,3,4450,16466,10426.0,12016,Deteriorated,1196,55333.0,193,102243,149,59,0
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,AD-Artificial Intelligence & Data Science,8003,2024,1,COMEDK,Very Good,Bangalore,1,2,2,8003,12412,10208.0,4409,Deteriorated,1196,55333.0,193,102243,149,59,0
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,7942,2024,1,COMEDK,Very Good,Bangalore,1,2,2,7942,10322,9132.0,2380,Deteriorated,1196,55333.0,193,102243,149,59,0
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,AS-Aerospace Engineering,36946,2024,1,COMEDK,Good,Bangalore,1,2,2,36946,36946,36946.0,0,NoChange,1196,55333.0,193,102243,149,59,0
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,5697,2024,1,COMEDK,Very Good,Bangalore,1,4,3,5697,18563,11073.0,12866,Deteriorated,1196,55333.0,193,102243,149,59,0
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,22703,2024,1,COMEDK,Good,Bangalore,1,2,2,22703,32944,27824.0,10241,Deteriorated,1196,55333.0,193,102243,149,59,0
E030,"Brindavan College of Engineering-Yelahanka, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,49216,2024,1,COMEDK,Good,Bangalore,1,3,2,49216,95743,72480.0,46527,Deteriorated,1196,55333.0,193,102243,149,59,0
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,AD-Artificial Intelligence & Data Science,13021,2024,1,COMEDK,Very Good,Bangalore,1,4,3,13021,51311,27926.0,38290,Deteriorated,1196,55333.0,193,102243,149,59,0
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,12597,2024,1,COMEDK,Very Good,Bangalore,1,4,3,12597,47001,26482.0,34404,Deteriorated,1196,55333.0,193,102243,149,59,0
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",KKR,AD-Artificial Intelligence & Data Science,39918,2024,1,COMEDK,Good,Bangalore,1,2,2,39918,52197,46058.0,12279,Deteriorated,1196,55333.0,193,102243,149,59,0
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,37232,2024,1,COMEDK,Good,Bangalore,1,2,2,37232,50273,43752.0,13041,Deteriorated,1196,55333.0,193,102243,149,59,0
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,21151,2024,1,COMEDK,Good,Bangalore,1,4,3,21151,88161,48729.0,67010,Deteriorated,1196,55333.0,193,102243,149,59,0
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,58404,2024,1,COMEDK,Average,Bangalore,1,1,1,58404,58404,58404.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E035,"Channabasaveshwara Institute of Technology- Gubbi, Tumakuru",GM,AD-Artificial Intelligence & Data Science,99218,2024,1,COMEDK,Below Average,Tumakuru,1,1,1,99218,99218,99218.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E037,"City Engineering College-Doddakalasandra, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,100898,2024,1,COMEDK,Below Average,Bangalore,1,3,2,81421,100898,91160.0,19477,Improved,1196,55333.0,193,102243,149,59,0
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,AD-Artificial Intelligence & Data Science,96402,2024,1,COMEDK,Below Average,South Kodagu,1,1,1,96402,96402,96402.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,AI-Artificial Intelligence & Machine Learning,95657,2024,1,COMEDK,Below Average,South Kodagu,1,1,1,95657,95657,95657.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,11571,2024,1,COMEDK,Very Good,Bangalore,1,4,3,11571,46862,26186.0,35291,Deteriorated,1196,55333.0,193,102243,149,59,0
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,34142,2024,1,COMEDK,Good,Bangalore,1,2,2,34142,37892,36017.0,3750,Deteriorated,1196,55333.0,193,102243,149,59,0
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,AE-Aeronautical Engineering,11671,2024,1,COMEDK,Very Good,Bangalore,1,3,2,11671,24269,17970.0,12598,Deteriorated,1196,55333.0,193,102243,149,59,0
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,2785,2024,1,COMEDK,Excellent,Bangalore,1,4,3,2785,6927,4675.0,4142,Deteriorated,1196,55333.0,193,102243,149,59,0
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,AU-Automobile Engineering,19562,2024,1,COMEDK,Very Good,Bangalore,1,3,2,19562,42671,31116.0,23109,Deteriorated,1196,55333.0,193,102243,149,59,0
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",KKR,AE-Aeronautical Engineering,48305,2024,1,COMEDK,Good,Bangalore,1,2,2,48305,68274,58290.0,19969,Deteriorated,1196,55333.0,193,102243,149,59,0
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,12294,2024,1,COMEDK,Very Good,Bangalore,1,2,2,12294,13569,12932.0,1275,Deteriorated,1196,55333.0,193,102243,149,59,0
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",KKR,AU-Automobile Engineering,91938,2024,1,COMEDK,Below Average,Bangalore,1,1,1,91938,91938,91938.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",GM,AD-Artificial Intelligence & Data Science,40072,2024,1,COMEDK,Good,Bangalore,1,3,2,40072,79648,59860.0,39576,Deteriorated,1196,55333.0,193,102243,149,59,0
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",KKR,AD-Artificial Intelligence & Data Science,99310,2024,1,COMEDK,Below Average,Bangalore,1,1,1,99310,99310,99310.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,AE-Aeronautical Engineering,33345,2024,1,COMEDK,Good,Bangalore,1,3,2,33345,90800,62072.0,57455,Deteriorated,1196,55333.0,193,102243,149,59,0
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,15752,2024,1,COMEDK,Very Good,Bangalore,1,4,3,15752,67962,36626.0,52210,Deteriorated,1196,55333.0,193,102243,149,59,0
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",KKR,AE-Aeronautical Engineering,51973,2024,1,COMEDK,Average,Bangalore,1,1,1,51973,51973,51973.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,40677,2024,1,COMEDK,Good,Bangalore,1,2,2,40677,51238,45958.0,10561,Deteriorated,1196,55333.0,193,102243,149,59,0
E043,"Yenepoya Institute of Technology formerly known as Dr. M V Shetty Institute of Technology- Moodbidri, Mangaluru",GM,AI-Artificial Intelligence & Machine Learning,84872,2024,1,COMEDK,Below Average,Mangaluru,1,1,1,84872,84872,84872.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E045,"Dr H N National College Of Engineering-Jayanagar, Bengaluru",GM,AD-Artificial Intelligence & Data Science,84710,2024,1,COMEDK,Below Average,Bangalore,1,4,3,84710,98989,94229.0,14279,Deteriorated,1196,55333.0,193,102243,149,59,0
E046,"East Point College of Engineering and Technology-Avalahalli, Bengaluru",GM,AD-Artificial Intelligence & Data Science,46128,2024,1,COMEDK,Good,Bangalore,1,4,3,46128,98557,76503.0,52429,Deteriorated,1196,55333.0,193,102243,149,59,0
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,AD-Artificial Intelligence & Data Science,58446,2024,1,COMEDK,Average,Bangalore,1,3,2,58446,93490,75968.0,35044,Deteriorated,1196,55333.0,193,102243,149,59,0
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,63275,2024,1,COMEDK,Average,Bangalore,1,3,2,63275,86818,75046.0,23543,Deteriorated,1196,55333.0,193,102243,149,59,0
E048,"East West Institute of Technology-BEL Layout, Bengaluru",KKR,AD-Artificial Intelligence & Data Science,59464,2024,1,COMEDK,Average,Bangalore,1,1,1,59464,59464,59464.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,AD-Artificial Intelligence & Data Science,30735,2024,1,COMEDK,Good,Bangalore,1,4,3,30735,77065,58246.0,46330,Deteriorated,1196,55333.0,193,102243,149,59,0
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,AE-Aeronautical Engineering,62365,2024,1,COMEDK,Average,Bangalore,1,3,2,62365,99746,81056.0,37381,Deteriorated,1196,55333.0,193,102243,149,59,0
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,28676,2024,1,COMEDK,Good,Bangalore,1,4,3,28676,70074,50375.0,41398,Deteriorated,1196,55333.0,193,102243,149,59,0
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",KKR,AD-Artificial Intelligence & Data Science,60958,2024,1,COMEDK,Average,Bangalore,1,2,2,60958,91683,76320.0,30725,Deteriorated,1196,55333.0,193,102243,149,59,0
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,57298,2024,1,COMEDK,Average,Bangalore,1,1,1,57298,57298,57298.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E051,"GM Institute of Technology-P B Road, Davangere",GM,AI-Artificial Intelligence & Machine Learning,84531,2024,1,COMEDK,Below Average,Davangere,1,3,2,65054,84531,74792.0,19477,Improved,1196,55333.0,193,102243,149,59,0
E053,"Gopalan College of Engineering And Management-Whitefield, Bengaluru",GM,AE-Aeronautical Engineering,67428,2024,1,COMEDK,Average,Bangalore,1,1,1,67428,67428,67428.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",GM,AD-Artificial Intelligence & Data Science,37805,2024,1,COMEDK,Good,Mysuru,1,4,3,37805,85755,60993.0,47950,Deteriorated,1196,55333.0,193,102243,149,59,0
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi area, Kalaburgi",GM,AI-Artificial Intelligence & Machine Learning,97828,2024,1,COMEDK,Below Average,Kalaburgi,1,1,1,97828,97828,97828.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E059,"Jawaharlal Nehru New College of Engineering JNNCE-Swalanga Road, Shivamogga",GM,AI-Artificial Intelligence & Machine Learning,43922,2024,1,COMEDK,Good,Shivamogga,1,4,3,43922,86450,65385.0,42528,Deteriorated,1196,55333.0,193,102243,149,59,0
E066,"KLE College of Engineering and Technology-Chikodi Dist., Belagavi",GM,AD-Artificial Intelligence & Data Science,34015,2024,1,COMEDK,Good,Belagavi,1,4,3,34015,82886,64048.0,48871,Deteriorated,1196,55333.0,193,102243,149,59,0
E066,"KLE College of Engineering and Technology-Chikodi Dist., Belagavi",KKR,AD-Artificial Intelligence & Data Science,100711,2024,1,COMEDK,Below Average,Belagavi,1,1,1,100711,100711,100711.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E067,"K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru",GM,AD-Artificial Intelligence & Data Science,69921,2024,1,COMEDK,Average,Bangalore,1,3,2,69921,77605,73763.0,7684,Deteriorated,1196,55333.0,193,102243,149,59,0
E068,"K.S. Institute of Technology-Kanakapura Main Road, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,43369,2024,1,COMEDK,Good,Bangalore,1,3,2,43369,98020,70694.0,54651,Deteriorated,1196,55333.0,193,102243,149,59,0
E068,"K.S. Institute of Technology-Kanakapura Main Road, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,96567,2024,1,COMEDK,Below Average,Bangalore,1,1,1,96567,96567,96567.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E070,"Kalpataru Institute of Technology-B H Road, Tiptur",GM,AI-Artificial Intelligence & Machine Learning,70996,2024,1,COMEDK,Average,Tiptur,1,1,1,70996,70996,70996.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E071,"Karavali Institute of Technology-Kottara, Mangaluru",GM,AE-Aeronautical Engineering,71389,2024,1,COMEDK,Average,Mangaluru,1,1,1,71389,71389,71389.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,AE-Aeronautical Engineering,40714,2024,1,COMEDK,Good,Belagavi,1,3,2,40714,61104,50909.0,20390,Deteriorated,1196,55333.0,193,102243,149,59,0
E075,"KNS Institute of Technology-Yelahanka, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,88258,2024,1,COMEDK,Below Average,Bangalore,1,1,1,88258,88258,88258.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E076,"M.S. Engineering College-Sadahalli, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,79088,2024,1,COMEDK,Average,Bangalore,1,3,2,79088,91193,85140.0,12105,Deteriorated,1196,55333.0,193,102243,149,59,0
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,AD-Artificial Intelligence & Data Science,1660,2024,1,COMEDK,Excellent,Bangalore,1,4,3,1660,3864,2745.0,2204,Deteriorated,1196,55333.0,193,102243,149,59,0
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,1756,2024,1,COMEDK,Excellent,Bangalore,1,4,3,1756,3721,2698.0,1965,Deteriorated,1196,55333.0,193,102243,149,59,0
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,AS-Aerospace Engineering,5466,2024,1,COMEDK,Very Good,Bangalore,1,4,3,5466,18962,12125.0,13496,Deteriorated,1196,55333.0,193,102243,149,59,0
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,AD-Artificial Intelligence & Data Science,8035,2024,1,COMEDK,Very Good,Bangalore,1,2,2,8035,9524,8780.0,1489,Deteriorated,1196,55333.0,193,102243,149,59,0
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,6417,2024,1,COMEDK,Very Good,Bangalore,1,2,2,6417,7073,6745.0,656,Deteriorated,1196,55333.0,193,102243,149,59,0
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,AS-Aerospace Engineering,45274,2024,1,COMEDK,Good,Bangalore,1,2,2,45274,76076,60675.0,30802,Deteriorated,1196,55333.0,193,102243,149,59,0
E080,"Mangalore Institute of Technology and Engineering-Moodbidri, Mangaluru",GM,AE-Aeronautical Engineering,101405,2024,1,COMEDK,Below Average,Mangaluru,1,1,1,101405,101405,101405.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E080,"Mangalore Institute of Technology and Engineering-Moodbidri, Mangaluru",GM,AI-Artificial Intelligence & Machine Learning,63646,2024,1,COMEDK,Average,Mangaluru,1,1,1,63646,63646,63646.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,AD-Artificial Intelligence & Data Science,70280,2024,1,COMEDK,Average,Mysuru,1,3,2,70280,91965,81122.0,21685,Deteriorated,1196,55333.0,193,102243,149,59,0
E083,"Mysuru Royal Institute of Technology-Palahallli, Mandya District",GM,AI-Artificial Intelligence & Machine Learning,97837,2024,1,COMEDK,Below Average,Mandya District,1,1,1,97837,97837,97837.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",GM,AD-Artificial Intelligence & Data Science,7141,2024,1,COMEDK,Very Good,Bangalore,1,4,3,7141,20333,12851.0,13192,Deteriorated,1196,55333.0,193,102243,149,59,0
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",GM,AE-Aeronautical Engineering,22436,2024,1,COMEDK,Good,Bangalore,1,3,2,22436,47349,34892.0,24913,Deteriorated,1196,55333.0,193,102243,149,59,0
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,7075,2024,1,COMEDK,Very Good,Bangalore,1,4,3,7075,19377,12344.0,12302,Deteriorated,1196,55333.0,193,102243,149,59,0
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",KKR,AD-Artificial Intelligence & Data Science,26593,2024,1,COMEDK,Good,Bangalore,1,2,2,26593,36018,31306.0,9425,Deteriorated,1196,55333.0,193,102243,149,59,0
